event_time,coef,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0017762250303059,-.011940557,.0083881067,-.0017762250303059,-.0119405565783381,.0083881067112088
-5,-.0053431270241361,-.015388358,.0047021047,-.0053431270241361,-.0153883583843708,.0047021047212183
-4,.0051490688785336,-.0060144626,.016312601,.0051490688785336,-.0060144625604153,.0163126010447741
-3,-.0049842092094698,-.013929447,.003961029,-.0049842092094698,-.0139294471591711,.003961028996855
-2,.0035075586340193,-.0063200109,.013335128,.0035075586340193,-.0063200108706951,.0133351283147931
-1,0,0,0,0,0,0
-1,-.0030837729577215,-.011783356,.0056158099,-.0030837729577215,-.0117833558470011,.0056158099323511
0,.0040213727483752,-.0058924872,.013935233,.0040213727483752,-.0058924872428179,.0139352325350046
1,.0034615986813743,-.0070579564,.013981153,.0034615986813743,-.0070579564198852,.0139811532571912
2,-.0002510321884437,-.010917603,.010415539,-.0002510321884437,-.0109176030382514,.0104155391454697
3,-.0058598992937793,-.01711423,.0053944318,-.0058598992937793,-.0171142295002937,.0053944317623973
4,-.004790889708501,-.017321857,.0077400771,-.004790889708501,-.0173218566924334,.0077400770969689
5,.0027744701049744,-.0087110717,.014260012,.0027744701049744,-.0087110716849566,.0142600117251277
6,.0035852513605058,-.0094104279,.01658093,.0035852513605058,-.0094104278832674,.016580929979682
7,-.0031453738419331,-.017181594,.010890847,-.0031453738419331,-.0171815939247608,.0108908470720053
8,.0027181784963399,-.01327884,.018715197,.0027181784963399,-.0132788401097059,.0187151972204447
