subgroup,subgroup_label,outcome,model_id,covar_spec,covariates,model_ok,rc,att,se,z,p,ll,ul,N,N_clust,treated_routes
lcc,LCC,arrival_15,carrier_lcc_arrival_15_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.0009323718764387,.005667015,.1645261,.869317,-.010418411,.012283155,43272,1949,318
lcc,LCC,cancellation,carrier_lcc_cancellation_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,-.0002428810962016,.0010668202,-.22766826,.81990415,-.002470806,.001985044,43272,1949,318
lcc,LCC,carrier_delay,carrier_lcc_carrier_delay_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,-.7972093437405755,.98768145,-.80715227,.41957876,-2.7055597,1.1111411,43105,1945,318
lcc,LCC,ln_average_fare,carrier_lcc_ln_average_fare_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,-.0877046303482163,.0082115242,-10.680676,1.2535587e-26,-.10420094,-.071208313,43272,1949,318
lcc,LCC,sa_ln_total_departures_panelqoy,carrier_lcc_sa_ln_total_departures_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.0799404143713667,.035091795,2.2780373,.022724358,.018342895,.14153793,43272,1949,318
lcc,LCC,sa_ln_total_passengers_panelqoy,carrier_lcc_sa_ln_total_passengers_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.105488788719909,.035261028,2.9916537,.0027747082,.043629322,.16734825,43272,1949,318
lcc,LCC,sa_ln_total_seats_panelqoy,carrier_lcc_sa_ln_total_seats_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.0886527432161888,.034837514,2.5447493,.010935621,.027688036,.14961745,43272,1949,318
legacy,Legacy,arrival_15,carrier_legacy_arrival_15_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,-.0004718889371265,.0036590577,-.1289646,.89738566,-.0075012571,.006557479,61327,2181,357
legacy,Legacy,cancellation,carrier_legacy_cancellation_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.000324769655903,.00075949461,.42761287,.66893303,-.0011062952,.0017558344,61327,2181,357
legacy,Legacy,carrier_delay,carrier_legacy_carrier_delay_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.819963671055922,.69750756,1.1755624,.2397698,-.45138001,2.0913074,60964,2173,357
legacy,Legacy,ln_average_fare,carrier_legacy_ln_average_fare_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,-.0605633954577179,.0095897755,-6.3154135,2.6944041e-10,-.079068951,-.042057842,61327,2181,357
legacy,Legacy,sa_ln_total_departures_panelqoy,carrier_legacy_sa_ln_total_departures_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.108213811223909,.026251607,4.1221786,.000037530604,.053951412,.16247621,61327,2181,357
legacy,Legacy,sa_ln_total_passengers_panelqoy,carrier_legacy_sa_ln_total_passengers_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.1228947553626181,.029632529,4.1472921,.000033643071,.062073521,.18371598,61327,2181,357
legacy,Legacy,sa_ln_total_seats_panelqoy,carrier_legacy_sa_ln_total_seats_panelqoy_dripw,main,average_dist route_hhi ln_geo_mean_pop ln_geo_mean_income origin_leisure_share_emp dest_leisure_share_emp big_city_route hub_route,1,0,.1224656917066321,.028132167,4.3532262,.000013414852,.065597326,.17933406,61327,2181,357
