event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,1.219250334661259,1.0634544,-1.7391367,4.1776371,1.219250334661259,-1.739136695861816,4.177637100219727
-5,.402899827782192,1.1930878,-2.91611,3.7219095,.402899827782192,-2.916110038757324,3.721909523010254
-4,-.297592707919164,.7758944,-2.4560266,1.8608412,-.297592707919164,-2.456026554107666,1.860841155052185
-3,-.9159806740483694,1.2809204,-4.4793286,2.6473672,-.9159806740483694,-4.479328632354736,2.647367238998413
-2,.9008201757171381,.99372011,-1.8635753,3.6652157,.9008201757171381,-1.863575339317322,3.665215730667114
-1,-1.469959340196096,1.0948054,-4.5155606,1.5756419,-1.469959340196096,-4.515560626983643,1.575641870498657
-1,0,0,0,0,0,0,0
0,.5770705234235425,.92546266,-1.997442,3.1515832,.5770705234235425,-1.997442007064819,3.151583194732666
1,1.038194735561566,1.0364441,-1.845053,3.9214425,1.038194735561566,-1.84505295753479,3.92144250869751
2,-.1904840259874296,.98067629,-2.9185934,2.5376253,-.1904840259874296,-2.918593406677246,2.537625312805176
3,.4798810573315293,1.1156942,-2.6238298,3.5835919,.4798810573315293,-2.62382984161377,3.583591938018799
4,.8118628361592747,1.3000411,-2.8046765,4.4284019,.8118628361592747,-2.804676532745361,4.428401947021484
5,2.306421075922474,1.7041993,-2.4344318,7.0472741,2.306421075922474,-2.434431791305542,7.047274112701416
6,-.44004860715841,1.1613698,-3.6708231,2.7907259,-.44004860715841,-3.670823097229004,2.790725946426392
7,.5902189236952381,1.6624321,-4.0344434,5.2148809,.5902189236952381,-4.034443378448486,5.21488094329834
8,.1350737936941825,1.2567707,-3.3610933,3.6312408,.1350737936941825,-3.361093282699585,3.631240844726563
