event_time,coef,ll,ul
-6,-.00156678853951,-.96564019,.96250665
-5,.1910420851090295,-.46513665,.84722084
-4,-.0356164293809251,-1.1234635,1.0522306
-3,-.1090097306258432,-.73220694,.51418751
-2,-.0187016648721494,-.97294343,.93554008
-1,0,0,0
-1,.032207406441978,-.64275837,.70717317
0,.0496174125802428,-.99207389,1.0913087
1,.2089917279030116,-1.1953945,1.613378
2,.2539506707026057,-.50577819,1.0136795
3,-.0074383240106434,-.50984991,.49497327
4,-.0180528855552667,-1.1523223,1.1162165
5,-.058699718825026,-1.5613514,1.443952
6,-.4242554121688926,-1.2379826,.38947183
7,-.7376385647109723,-1.3570662,-.11821092
8,-.5628542174773929,-1.8984374,.77272892
